driver_name,car_number,team_name,manufacturer,season_year,race_number,race_pos,quali_pos,stage_1_pos,stage_2_pos,stage_3_pos,laps_led,status,season_points,finish_position_points,stage_points,playoff_points
Austin Cindric,2,Team Penske,Ford,2022,27,16,6,0,0,0,0,running,21,21,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,27,17,13,0,0,0,0,running,20,20,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,27,18,36,0,8,0,0,running,22,19,3,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,27,19,14,0,0,0,0,running,18,18,0,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,27,20,12,6,0,0,1,running,22,17,5,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,27,21,28,0,0,0,0,running,16,16,0,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,27,22,29,0,0,0,0,running,15,15,0,0
Daniel Hemric,16,Kaulig Racing,Chevrolet,2022,27,23,24,0,0,0,0,running,0,14,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,27,24,34,0,0,0,4,running,13,13,0,0
Landon Cassill,77,Spire Motorsports,Chevrolet,2022,27,25,26,0,0,0,1,running,0,12,0,0
Chris Buescher,17,RFK Racing,Ford,2022,27,26,27,0,0,0,0,running,11,11,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,27,27,19,0,0,0,0,running,10,10,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,27,28,31,0,0,0,0,running,9,9,0,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,27,29,35,0,0,0,0,running,0,8,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,27,30,5,3,1,0,155,engine,25,7,18,1
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,27,31,17,5,2,0,48,water pump,21,6,15,0
Cody Ware,51,Rick Ware Racing,Ford,2022,27,32,32,0,0,0,0,crash,5,5,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,27,33,18,0,0,0,0,exhaust,4,4,0,0
J.J. Yeley,15,Rick Ware Racing,Ford,2022,27,34,33,0,0,0,0,exhaust,0,3,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,27,35,20,0,0,0,0,crash,2,2,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,27,36,23,0,0,0,0,dvp,1,1,0,0
Bubba Wallace,45,23XI Racing,Toyota,2022,28,1,6,5,4,0,58,running,53,40,13,5
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,28,2,25,0,6,0,0,running,40,35,5,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,28,3,4,1,2,0,12,running,53,34,19,1
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,28,4,3,0,1,0,107,running,43,33,10,1
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,28,5,12,3,0,0,24,running,40,32,8,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,28,6,9,0,3,0,9,running,39,31,8,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,28,7,5,8,10,0,0,running,34,30,4,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,28,8,7,0,7,0,0,running,33,29,4,0
Ryan Blaney,12,Team Penske,Ford,2022,28,9,17,2,9,0,2,running,39,28,11,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,28,10,15,0,0,0,8,running,27,27,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,28,11,22,6,5,0,0,running,37,26,11,0
Austin Cindric,2,Team Penske,Ford,2022,28,12,8,0,0,0,0,running,25,25,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,28,13,13,0,0,0,0,running,24,24,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,28,14,11,10,0,0,3,running,24,23,1,0
Chris Buescher,17,RFK Racing,Ford,2022,28,15,10,0,0,0,0,running,22,22,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,28,16,23,0,0,0,1,running,21,21,0,0
Joey Logano,22,Team Penske,Ford,2022,28,17,2,9,8,0,2,running,25,20,5,0
Noah Gragson,16,Kaulig Racing,Chevrolet,2022,28,18,28,0,0,0,0,running,0,19,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,28,19,27,0,0,0,0,running,18,18,0,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,28,20,21,0,0,0,0,running,17,17,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,28,21,36,0,0,0,3,running,16,16,0,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,28,22,29,0,0,0,0,running,15,15,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,28,23,32,0,0,0,0,running,14,14,0,0
Landon Cassill,77,Spire Motorsports,Chevrolet,2022,28,24,31,0,0,0,0,running,0,13,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,28,25,26,0,0,0,0,running,12,12,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,28,26,20,7,0,0,0,running,15,11,4,0
Cody Ware,51,Rick Ware Racing,Ford,2022,28,27,30,0,0,0,0,running,10,10,0,0
J.J. Yeley,15,Rick Ware Racing,Ford,2022,28,28,33,0,0,0,0,running,0,9,0,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,28,29,24,0,0,0,0,running,8,8,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,28,30,35,4,0,0,0,running,14,7,7,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,28,31,34,0,0,0,0,running,0,6,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,28,32,18,0,0,0,0,crash,5,5,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,28,33,19,0,0,0,0,crash,4,4,0,0
Ty Gibbs,23,23XI Racing,Toyota,2022,28,34,16,0,0,0,0,crash,0,3,0,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,28,35,1,0,0,0,38,crash,2,2,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,28,36,14,0,0,0,0,crash,1,1,0,0
Chris Buescher,17,RFK Racing,Ford,2022,29,1,20,7,0,0,169,running,44,40,4,5
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,29,2,23,0,4,0,0,running,42,35,7,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,29,3,16,9,7,0,0,running,40,34,6,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,29,4,8,2,1,0,143,running,52,33,19,1
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,29,5,5,5,9,0,34,running,40,32,8,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,29,6,12,0,2,0,0,running,40,31,9,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2022,29,7,13,0,0,0,0,running,0,30,0,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,29,8,11,0,0,0,0,running,29,29,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,29,9,4,0,0,0,0,running,28,28,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,29,10,7,0,10,0,0,running,28,27,1,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,29,11,18,0,0,0,0,running,26,26,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,29,12,19,0,0,0,0,running,25,25,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,29,13,10,1,0,0,109,running,34,24,10,1
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,29,14,2,4,3,0,0,running,38,23,15,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,29,15,31,0,0,0,0,running,22,22,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,29,16,27,0,0,0,0,running,21,21,0,0
Cody Ware,51,Rick Ware Racing,Ford,2022,29,17,32,0,0,0,0,running,20,20,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,29,18,30,0,0,0,0,running,19,19,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,29,19,29,0,0,0,0,running,18,18,0,0
Austin Cindric,2,Team Penske,Ford,2022,29,20,9,0,0,0,0,running,17,17,0,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,29,21,24,0,0,0,0,running,16,16,0,0
Landon Cassill,77,Spire Motorsports,Chevrolet,2022,29,22,35,0,0,0,0,running,0,15,0,0
J.J. Yeley,15,Rick Ware Racing,Ford,2022,29,23,36,0,0,0,0,running,0,14,0,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,29,24,33,0,0,0,0,running,0,13,0,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,29,25,17,8,0,0,0,running,15,12,3,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,29,26,34,0,0,0,0,steering,11,11,0,0
Joey Logano,22,Team Penske,Ford,2022,29,27,15,0,0,0,0,suspension,10,10,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,29,28,1,0,0,0,36,steering,9,9,0,0
Bubba Wallace,45,23XI Racing,Toyota,2022,29,29,14,0,0,0,0,running,8,8,0,0
Ryan Blaney,12,Team Penske,Ford,2022,29,30,6,0,0,0,9,running,7,7,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,29,31,28,0,8,0,0,dvp,9,6,3,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,29,32,3,6,6,0,0,crash,15,5,10,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,29,33,26,0,0,0,0,crash,4,4,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,29,34,21,3,5,0,0,engine,17,3,14,0
Ty Gibbs,23,23XI Racing,Toyota,2022,29,35,25,0,0,0,0,steering,0,2,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,29,36,22,10,0,0,0,steering,2,1,1,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,30,1,4,0,0,0,70,running,40,40,0,5
Joey Logano,22,Team Penske,Ford,2022,30,2,2,3,8,0,15,running,46,35,11,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,30,3,31,0,0,0,0,running,34,34,0,0
Ryan Blaney,12,Team Penske,Ford,2022,30,4,14,0,1,0,29,running,43,33,10,1
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,30,5,30,0,0,0,0,running,32,32,0,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,30,6,27,0,0,0,1,running,31,31,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,30,7,3,6,3,0,42,running,43,30,13,0
Brad Keselowski,6,RFK Racing,Ford,2022,30,8,1,8,4,0,31,running,39,29,10,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,30,9,9,1,0,0,19,running,38,28,10,1
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,30,10,8,2,0,0,2,running,36,27,9,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,30,11,5,10,10,0,12,running,28,26,2,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,30,12,10,4,5,0,1,running,38,25,13,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,30,13,12,5,2,0,1,running,39,24,15,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,30,14,29,0,0,0,0,running,23,23,0,0
Austin Cindric,2,Team Penske,Ford,2022,30,15,11,9,7,0,0,running,28,22,6,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,30,16,32,0,0,0,0,running,21,21,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,30,17,7,0,6,0,3,running,25,20,5,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,30,18,20,0,0,0,15,running,19,19,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,30,19,23,0,0,0,9,running,18,18,0,0
Ty Gibbs,23,23XI Racing,Toyota,2022,30,20,16,0,0,0,0,running,0,17,0,0
Noah Gragson,16,Kaulig Racing,Chevrolet,2022,30,21,26,0,0,0,0,running,0,16,0,0
Landon Cassill,77,Spire Motorsports,Chevrolet,2022,30,22,35,0,0,0,0,running,0,15,0,0
Garrett Smithley,15,Rick Ware Racing,Ford,2022,30,23,33,0,0,0,0,running,0,14,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,30,24,25,0,0,0,0,running,13,13,0,0
Bubba Wallace,45,23XI Racing,Toyota,2022,30,25,19,0,0,0,0,running,12,12,0,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,30,26,34,0,0,0,1,running,0,11,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,30,27,21,7,0,0,23,running,14,10,4,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,30,28,28,0,0,0,1,running,9,9,0,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,30,29,17,0,0,0,0,running,8,8,0,0
Chris Buescher,17,RFK Racing,Ford,2022,30,30,13,0,0,0,0,crash,7,7,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,30,31,15,0,9,0,15,crash,8,6,2,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,30,32,6,0,0,0,44,crash,5,5,0,0
Cody Ware,51,Rick Ware Racing,Ford,2022,30,33,36,0,0,0,0,crash,4,4,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,30,34,22,0,0,0,0,dvp,3,3,0,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,30,35,24,0,0,0,0,crash,2,2,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,30,36,18,0,0,0,0,crash,1,1,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,31,1,16,3,1,0,10,running,58,40,18,6
Ryan Blaney,12,Team Penske,Ford,2022,31,2,19,1,0,0,31,running,45,35,10,1
Michael McDowell,34,Front Row Motorsports,Ford,2022,31,3,29,0,0,0,0,running,34,34,0,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,31,4,6,0,6,0,36,running,38,33,5,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,31,5,3,2,0,0,20,running,41,32,9,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,31,6,12,10,5,0,23,running,38,31,7,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,31,7,34,0,0,0,1,running,30,30,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,31,8,14,0,4,0,2,running,36,29,7,0
Austin Cindric,2,Team Penske,Ford,2022,31,9,17,4,0,0,0,running,35,28,7,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,31,10,5,0,10,0,0,running,28,27,1,0
Landon Cassill,77,Spire Motorsports,Chevrolet,2022,31,11,33,0,7,0,1,running,0,26,4,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,31,12,9,0,0,0,1,running,25,25,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,31,13,20,0,0,0,0,running,24,24,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,31,14,4,0,0,0,36,running,23,23,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,31,15,21,0,2,0,0,running,31,22,9,0
Bubba Wallace,45,23XI Racing,Toyota,2022,31,16,27,0,0,0,0,running,21,21,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,31,17,1,0,0,0,0,running,20,20,0,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,31,18,2,8,3,0,8,running,30,19,11,0
Noah Gragson,48,Hendrick Motorsports,Chevrolet,2022,31,19,7,9,0,0,0,running,0,18,2,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,31,20,26,7,0,0,3,running,21,17,4,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,31,21,28,0,0,0,2,running,16,16,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,31,22,25,6,0,0,0,running,20,15,5,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,31,23,30,0,0,0,0,running,14,14,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,31,24,18,0,0,0,0,running,13,13,0,0
Chris Buescher,17,RFK Racing,Ford,2022,31,25,23,0,8,0,1,running,15,12,3,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,31,26,22,0,0,0,1,running,11,11,0,0
Joey Logano,22,Team Penske,Ford,2022,31,27,11,5,0,0,0,running,16,10,6,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,31,28,8,0,0,0,11,running,9,9,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,31,29,24,0,0,0,0,running,8,8,0,0
Justin Allgaier,62,Beard Motorsports,Chevrolet,2022,31,30,31,0,0,0,0,running,0,7,0,0
J.J. Yeley,15,Rick Ware Racing,Ford,2022,31,31,36,0,0,0,0,running,0,6,0,0
Cody Ware,51,Rick Ware Racing,Ford,2022,31,32,37,0,0,0,0,running,5,5,0,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,31,33,35,0,0,0,0,running,0,4,0,0
Daniel Hemric,16,Kaulig Racing,Chevrolet,2022,31,34,13,0,9,0,0,electrical,0,3,2,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,31,35,32,0,0,0,1,crash,2,2,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,31,36,15,0,0,0,0,crash,1,1,0,0
Ty Gibbs,23,23XI Racing,Toyota,2022,31,37,10,0,0,0,0,crash,0,1,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,32,1,8,0,0,0,2,running,40,40,0,5
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,32,2,22,0,0,0,4,running,35,35,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,32,3,20,0,0,0,0,running,34,34,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2022,32,4,7,10,4,0,24,running,0,33,8,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,32,5,13,0,0,0,0,running,32,32,0,0
Chris Buescher,17,RFK Racing,Ford,2022,32,6,21,0,0,0,0,running,31,31,0,0
Bubba Wallace,45,23XI Racing,Toyota,2022,32,7,14,0,0,0,0,running,30,30,0,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,32,8,4,9,5,0,21,running,37,29,8,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,32,9,17,7,8,0,0,running,35,28,7,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,32,10,15,0,0,0,0,running,27,27,0,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,32,11,26,0,0,0,1,running,26,26,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,32,12,30,0,0,0,0,running,25,25,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,32,13,24,8,0,0,0,running,27,24,3,0
Brad Keselowski,6,RFK Racing,Ford,2022,32,14,31,0,0,0,0,running,23,23,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,32,15,37,0,0,0,0,running,22,22,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,32,16,2,2,0,0,0,running,30,21,9,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,32,17,19,0,0,0,0,running,20,20,0,0
Joey Logano,22,Team Penske,Ford,2022,32,18,1,1,7,0,27,running,33,19,14,1
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,32,19,25,0,0,0,0,running,18,18,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,32,20,9,0,10,0,30,running,18,17,1,0
Austin Cindric,2,Team Penske,Ford,2022,32,21,5,5,0,0,0,running,22,16,6,0
Ty Gibbs,23,23XI Racing,Toyota,2022,32,22,16,0,0,0,0,running,0,15,0,0
Noah Gragson,48,Hendrick Motorsports,Chevrolet,2022,32,23,29,0,0,0,0,running,0,14,0,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,32,24,12,0,0,0,0,running,13,13,0,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,32,25,28,0,0,0,0,running,12,12,0,0
Ryan Blaney,12,Team Penske,Ford,2022,32,26,6,4,9,0,0,running,20,11,9,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,32,27,11,0,0,0,0,running,10,10,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,32,28,23,0,2,0,0,running,18,9,9,0
Mike Rockenfeller,77,Spire Motorsports,Chevrolet,2022,32,29,34,0,0,0,0,running,8,8,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,32,30,32,0,0,0,0,running,7,7,0,0
Josh Williams,78,Live Fast Motorsports,Ford,2022,32,31,38,0,0,0,0,running,0,6,0,0
J.J. Yeley,51,Rick Ware Racing,Ford,2022,32,32,35,0,0,0,0,running,0,5,0,0
Loris Hezemans,27,Team Hezeberg,Ford,2022,32,33,36,0,0,0,0,running,0,4,0,0
Conor Daly,50,23XI Racing,Chevrolet,2022,32,34,39,0,0,0,0,running,3,3,0,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,32,35,18,6,3,0,0,running,15,2,13,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,32,36,3,3,6,0,0,running,14,1,13,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,32,37,10,0,1,0,3,running,11,1,10,1
Joey Hand,15,Rick Ware Racing,Ford,2022,32,38,27,0,0,0,0,crash,1,1,0,0
Daniil Kvyat,26,Team Hezeberg,Toyota,2022,32,39,33,0,0,0,0,engine,0,1,0,0
Joey Logano,22,Team Penske,Ford,2022,33,1,5,2,2,0,32,running,58,40,18,5
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,33,2,11,0,4,0,68,running,42,35,7,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,33,3,18,0,10,0,0,running,35,34,1,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,33,4,16,0,0,0,6,running,33,33,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,33,5,31,0,5,0,5,running,38,32,6,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,33,6,1,9,0,0,32,running,33,31,2,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,33,7,27,8,8,0,0,running,36,30,6,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,33,8,22,0,0,0,0,running,29,29,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2022,33,9,21,0,0,0,0,running,0,28,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,33,10,10,0,0,0,0,running,27,27,0,0
Noah Gragson,48,Hendrick Motorsports,Chevrolet,2022,33,11,17,0,0,0,0,running,0,26,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,33,12,13,0,7,0,0,running,29,25,4,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,33,13,3,10,6,0,0,running,30,24,6,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,33,14,28,0,0,0,16,running,23,23,0,0
Chris Buescher,17,RFK Racing,Ford,2022,33,15,12,0,0,0,0,running,22,22,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,33,16,6,3,3,0,31,running,37,21,16,0
Brad Keselowski,6,RFK Racing,Ford,2022,33,17,25,0,0,0,0,running,20,20,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,33,18,23,0,0,0,0,running,19,19,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,33,19,15,0,0,0,0,running,18,18,0,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,33,20,24,0,0,0,0,running,17,17,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,33,21,20,0,0,0,0,running,16,16,0,0
Ty Gibbs,23,23XI Racing,Toyota,2022,33,22,19,0,0,0,0,running,0,15,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,33,23,29,0,0,0,1,running,14,14,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,33,24,30,0,0,0,0,running,13,13,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,33,25,35,0,0,0,0,running,12,12,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,33,26,8,0,0,0,0,running,11,11,0,0
Cody Ware,51,Rick Ware Racing,Ford,2022,33,27,34,0,0,0,0,running,10,10,0,0
Ryan Blaney,12,Team Penske,Ford,2022,33,28,4,5,1,0,39,running,25,9,16,1
Austin Cindric,2,Team Penske,Ford,2022,33,29,2,6,9,0,8,running,15,8,7,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,33,30,36,0,0,0,0,running,0,7,0,0
J.J. Yeley,15,Rick Ware Racing,Ford,2022,33,31,26,0,0,0,0,running,0,6,0,0
Landon Cassill,77,Spire Motorsports,Chevrolet,2022,33,32,32,0,0,0,0,crash,0,5,0,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,33,33,33,0,0,0,0,suspension,4,4,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,33,34,7,4,0,0,0,dvp,10,3,7,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,33,35,14,7,0,0,0,crash,6,2,4,0
Bubba Wallace,45,23XI Racing,Toyota,2022,33,36,9,1,0,0,29,crash,11,1,10,1
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,34,1,5,1,1,0,199,running,60,40,20,7
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,34,2,20,0,8,0,0,running,38,35,3,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2022,34,3,10,6,0,0,0,running,0,34,5,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,34,4,32,5,0,0,0,running,39,33,6,0
Brad Keselowski,6,RFK Racing,Ford,2022,34,5,9,7,5,0,0,running,42,32,10,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,34,6,12,3,2,0,28,running,48,31,17,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,34,7,14,0,10,0,4,running,31,30,1,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,34,8,16,0,0,0,0,running,29,29,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,34,9,11,0,0,0,0,running,28,28,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,34,10,23,0,7,0,0,running,31,27,4,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,34,11,2,0,0,0,4,running,26,26,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,34,12,1,2,3,0,32,running,42,25,17,0
Chris Buescher,17,RFK Racing,Ford,2022,34,13,8,0,0,0,0,running,24,24,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,34,14,3,8,6,0,0,running,31,23,8,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,34,15,27,0,0,0,0,running,22,22,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,34,16,18,0,0,0,0,running,21,21,0,0
Ryan Blaney,12,Team Penske,Ford,2022,34,17,13,9,4,0,0,running,29,20,9,0
Joey Logano,22,Team Penske,Ford,2022,34,18,17,10,9,0,0,running,22,19,3,0
Austin Cindric,2,Team Penske,Ford,2022,34,19,26,0,0,0,0,running,18,18,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,34,20,21,0,0,0,0,running,17,17,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,34,21,28,0,0,0,0,running,16,16,0,0
