driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating,season_year,race_number
Ross Chastain,7,10,3,1,20,5.0,14,43,29,42,97.7,38,397,99.3,86.0,21.5,400,125.2,2022,11
Christopher Bell,17,30,4,2,32,15.0,-2,48,50,18,37.5,13,206,51.5,0.0,0.0,400,91.6,2022,11
Alex Bowman,6,3,5,1,18,7.0,5,33,28,33,100.0,24,393,98.3,2.0,0.5,400,109.1,2022,11
Kyle Larson,3,28,6,1,31,10.0,14,48,34,29,60.4,15,309,77.3,19.0,4.8,400,99.7,2022,11
Kyle Busch,10,6,7,1,17,6.0,22,61,39,56,91.8,35,390,97.5,103.0,25.8,400,120.7,2022,11
Chris Buescher,1,15,8,1,17,8.0,4,36,32,33,91.7,10,375,93.8,18.0,4.5,400,101.6,2022,11
Kevin Harvick,11,14,9,7,24,11.0,18,60,42,58,96.7,5,385,96.3,0.0,0.0,400,90.6,2022,11
Erik Jones,25,18,10,3,25,13.0,8,55,47,24,43.6,1,260,65.0,0.0,0.0,400,82.2,2022,11
Justin Haley,14,1,11,1,25,13.0,-27,34,61,23,67.6,6,287,71.8,19.0,4.8,400,82.3,2022,11
Martin Truex Jr,18,12,12,1,22,6.0,11,40,29,33,82.5,56,343,85.8,5.0,1.3,400,104.7,2022,11
Chase Briscoe,23,21,13,5,29,22.0,4,59,55,10,16.9,1,69,17.3,0.0,0.0,400,60.6,2022,11
Daniel Suarez,8,7,14,6,29,16.0,-9,75,84,38,50.7,1,222,55.5,0.0,0.0,400,66.1,2022,11
Cole Custer,30,24,15,14,32,25.0,5,62,57,12,19.4,0,30,7.5,0.0,0.0,400,52.5,2022,11
Bubba Wallace,9,4,16,4,27,15.0,-16,45,61,22,48.9,1,188,47.1,0.0,0.0,399,66.6,2022,11
Michael McDowell,29,25,17,10,32,22.0,6,53,47,8,15.1,0,58,14.5,0.0,0.0,399,54.5,2022,11
Corey LaJoie,21,20,18,12,27,20.0,-8,43,51,7,16.3,1,47,11.8,0.0,0.0,399,55.6,2022,11
Aric Almirola,27,22,19,5,27,17.0,-3,52,55,15,28.8,1,179,44.9,0.0,0.0,399,62.9,2022,11
Brad Keselowski,20,23,20,4,25,16.0,-7,48,55,17,35.4,1,180,45.1,0.0,0.0,399,65.7,2022,11
Denny Hamlin,2,17,21,1,29,14.0,50,77,27,35,45.5,42,198,49.6,67.0,16.8,399,86.2,2022,11
William Byron,33,9,22,4,33,15.0,-4,47,51,19,40.4,3,208,52.1,0.0,0.0,399,68.2,2022,11
Austin Dillon,24,11,23,6,29,25.0,-38,21,59,2,9.5,0,14,3.5,0.0,0.0,398,44.0,2022,11
Harrison Burton,35,26,24,2,35,27.0,-5,45,50,0,0.0,0,9,2.3,0.0,0.0,398,41.0,2022,11
Ryan Preece,13,27,25,13,28,20.0,-5,66,71,1,1.5,4,18,4.5,0.0,0.0,398,59.1,2022,11
Ryan Blaney,5,19,26,1,29,18.0,2,40,38,8,20.0,3,131,33.0,8.0,2.0,397,67.6,2022,11
Ty Dillon,31,13,27,8,33,29.0,-22,24,46,4,16.7,0,11,2.8,0.0,0.0,396,38.3,2022,11
Todd Gilliland,34,31,28,27,35,32.0,-4,8,12,0,0.0,0,0,0.0,0.0,0.0,396,34.0,2022,11
Joey Logano,22,29,29,11,31,26.0,-5,29,34,0,0.0,0,3,0.8,0.0,0.0,396,39.5,2022,11
Tyler Reddick,26,5,30,4,30,22.0,-12,60,72,5,8.3,1,43,11.0,0.0,0.0,390,43.4,2022,11
Kurt Busch,16,32,31,7,33,26.0,6,34,28,3,8.8,4,19,4.9,0.0,0.0,388,43.7,2022,11
Josh Bilicki,36,34,32,32,36,34.0,-3,1,4,0,0.0,0,0,0.0,0.0,0.0,381,26.7,2022,11
A.J. Allmendinger,19,2,33,2,31,19.0,-21,47,68,18,38.3,4,179,55.8,0.0,0.0,321,62.6,2022,11
Cody Ware,28,33,34,26,33,33.0,-3,11,14,0,0.0,0,0,0.0,0.0,0.0,238,31.8,2022,11
B.J. McLeod,32,35,35,32,36,35.0,3,5,2,0,0.0,0,0,0.0,0.0,0.0,167,24.8,2022,11
Austin Cindric,12,36,36,6,36,31.0,-4,9,13,4,44.4,1,74,81.3,0.0,0.0,91,46.9,2022,11
Joey Logano,1,4,1,1,20,2.0,-2,58,60,31,53.4,30,288,98.3,107.0,36.5,293,138.5,2022,12
Tyler Reddick,10,2,2,1,30,10.0,7,118,111,47,39.8,23,237,80.9,10.0,3.4,293,106.4,2022,12
Justin Haley,29,21,3,3,34,21.0,19,98,79,10,10.2,2,47,16.0,0.0,0.0,293,72.7,2022,12
Kevin Harvick,35,17,4,1,35,14.0,11,84,73,34,40.5,1,180,61.4,1.0,0.3,293,84.2,2022,12
Chase Elliott,34,11,5,4,35,13.0,34,107,73,44,41.1,11,193,65.9,0.0,0.0,293,88.3,2022,12
