driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating,season_year,race_number
Chase Briscoe,3,4,23,1,29,13.0,0,89,89,12,13.5,0,41,47.7,5.0,5.8,86,76.2,2022,22
Cody Ware,33,29,24,7,36,26.0,42,119,77,3,2.5,0,6,7.0,0.0,0.0,86,40.0,2022,22
Josh Williams,37,31,25,12,37,29.0,22,90,68,0,0.0,0,1,1.2,0.0,0.0,86,34.2,2022,22
Ryan Blaney,6,6,26,1,28,5.0,-26,51,77,29,56.9,3,84,97.7,17.0,19.8,86,105.3,2022,22
Ross Chastain,21,10,27,1,37,18.0,10,105,95,23,21.9,1,47,54.7,0.0,0.0,86,66.6,2022,22
Daniel Suarez,11,12,28,3,28,11.0,-36,94,130,36,38.3,3,70,81.4,0.0,0.0,86,84.2,2022,22
Joey Hand,27,26,29,1,37,27.0,13,71,58,11,15.5,0,11,12.9,2.0,2.4,85,55.3,2022,22
Austin Dillon,29,19,30,9,30,20.0,-11,94,105,17,18.1,0,27,31.8,0.0,0.0,85,58.0,2022,22
William Byron,23,7,31,1,28,10.0,-11,82,93,32,39.0,5,70,88.6,0.0,0.0,79,93.1,2022,22
Alex Bowman,28,23,32,2,35,25.0,-21,74,95,13,17.6,0,15,23.1,0.0,0.0,65,54.5,2022,22
Kevin Harvick,18,18,33,11,34,25.0,-33,78,111,3,3.8,0,4,6.3,0.0,0.0,64,49.3,2022,22
Ty Dillon,30,8,34,3,32,22.0,-12,66,78,12,18.2,0,30,50.0,0.0,0.0,60,56.3,2022,22
Kyle Larson,22,35,35,7,37,30.0,8,50,42,7,14.0,3,9,15.8,0.0,0.0,57,62.3,2022,22
Daniil Kvyat,36,36,36,16,36,34.0,14,41,27,1,2.4,0,0,0.0,0.0,0.0,43,27.0,2022,22
Loris Hezemans,34,37,37,19,38,35.0,-19,30,49,0,0.0,0,0,0.0,0.0,0.0,34,28.8,2022,22
Aric Almirola,14,38,38,14,36,35.0,-14,39,53,1,2.6,0,2,8.3,0.0,0.0,24,26.7,2022,22
Kevin Harvick,16,11,1,1,22,7.0,-16,73,89,57,78.1,19,190,95.0,38.0,19.0,200,123.0,2022,23
Bubba Wallace,1,19,2,1,24,8.0,3,75,72,59,78.7,15,182,91.0,22.0,11.0,200,118.4,2022,23
Denny Hamlin,9,9,3,1,22,5.0,36,91,55,74,81.3,34,195,97.5,38.0,19.0,200,128.6,2022,23
Joey Logano,4,23,4,2,27,10.0,-8,73,81,45,61.6,3,146,73.0,0.0,0.0,200,100.0,2022,23
Ryan Blaney,24,22,5,3,33,15.0,-10,69,79,24,34.8,3,109,54.5,0.0,0.0,200,85.0,2022,23
Martin Truex Jr,7,14,6,3,21,9.0,-4,89,93,59,66.3,4,186,93.0,0.0,0.0,200,99.8,2022,23
Kyle Larson,8,15,7,2,24,8.0,14,86,72,57,66.3,12,188,94.0,0.0,0.0,200,105.3,2022,23
Erik Jones,10,1,8,1,22,8.0,18,85,67,73,85.9,0,176,88.0,5.0,2.5,200,97.3,2022,23
Alex Bowman,30,21,9,4,30,14.0,2,88,86,35,39.8,1,118,59.0,0.0,0.0,200,81.4,2022,23
Ty Gibbs,11,20,10,1,32,14.0,6,90,84,34,37.8,6,127,63.5,2.0,1.0,200,88.3,2022,23
Chase Elliott,13,24,11,4,29,16.0,10,108,98,23,21.3,0,73,36.5,0.0,0.0,200,75.2,2022,23
William Byron,20,16,12,4,25,12.0,20,92,72,60,65.2,0,170,85.0,0.0,0.0,200,83.5,2022,23
Austin Dillon,26,5,13,3,34,17.0,3,100,97,26,26.0,4,66,33.0,0.0,0.0,200,71.6,2022,23
Ty Dillon,25,7,14,3,26,19.0,-9,82,91,22,26.8,0,59,29.5,0.0,0.0,200,66.3,2022,23
Brad Keselowski,33,6,15,1,35,17.0,11,87,76,31,35.6,0,83,41.5,0.0,0.0,200,67.3,2022,23
Chris Buescher,19,2,16,1,25,14.0,-7,69,76,34,49.3,1,124,62.0,1.0,0.5,200,70.9,2022,23
Justin Haley,21,27,17,8,34,21.0,-3,101,104,13,12.9,0,14,7.0,0.0,0.0,200,60.2,2022,23
Austin Hill,31,8,18,4,37,22.0,7,80,73,12,15.0,0,21,10.5,0.0,0.0,200,53.3,2022,23
Corey LaJoie,32,26,19,2,36,22.0,-32,75,107,13,17.3,0,22,11.0,0.0,0.0,200,56.0,2022,23
Chase Briscoe,23,4,20,4,30,16.0,-1,87,88,37,42.5,1,87,43.5,0.0,0.0,200,64.3,2022,23
Josh Bilicki,35,12,21,4,36,24.0,10,47,37,3,6.4,0,13,6.5,0.0,0.0,200,48.5,2022,23
Cody Ware,34,17,22,6,36,25.0,4,47,43,0,0.0,0,5,2.5,0.0,0.0,200,45.3,2022,23
B.J. McLeod,36,28,23,1,37,27.0,2,19,17,0,0.0,0,5,2.5,1.0,0.5,199,40.5,2022,23
Ross Chastain,22,25,24,1,31,13.0,2,73,71,24,32.9,6,118,59.3,29.0,14.6,199,96.3,2022,23
Daniel Suarez,15,3,25,1,29,12.0,-10,85,95,38,44.7,4,120,60.6,33.0,16.7,198,74.4,2022,23
Christopher Bell,2,10,26,1,26,8.0,6,54,48,48,88.9,30,159,82.4,31.0,16.1,193,93.7,2022,23
Todd Gilliland,37,31,27,26,37,30.0,4,11,7,0,0.0,0,0,0.0,0.0,0.0,188,34.5,2022,23
Michael McDowell,14,30,28,9,34,27.0,0,7,7,5,71.4,0,23,12.3,0.0,0.0,187,45.0,2022,23
Tyler Reddick,6,13,29,2,29,19.0,5,49,44,34,69.4,5,94,85.5,0.0,0.0,110,80.6,2022,23
Noah Gragson,12,18,30,3,27,20.0,-19,43,62,27,62.8,3,70,64.2,0.0,0.0,109,72.0,2022,23
Cole Custer,17,29,31,10,29,27.0,-20,27,47,1,3.7,1,11,11.7,0.0,0.0,94,42.1,2022,23
Harrison Burton,27,32,32,25,37,32.0,-2,11,13,0,0.0,0,0,0.0,0.0,0.0,29,28.7,2022,23
Ricky Stenhouse Jr,28,33,33,18,33,32.0,2,11,9,0,0.0,0,0,0.0,0.0,0.0,25,30.0,2022,23
Aric Almirola,18,34,34,15,32,32.0,-3,7,10,0,0.0,0,1,4.0,0.0,0.0,25,32.7,2022,23
J.J. Yeley,29,35,35,10,36,35.0,-10,6,16,0,0.0,0,2,8.3,0.0,0.0,24,24.2,2022,23
Kyle Busch,3,36,36,3,22,32.0,1,8,7,7,87.5,3,22,91.7,0.0,0.0,24,45.8,2022,23
Austin Cindric,5,37,37,5,29,34.0,-8,2,10,2,100.0,0,21,87.5,0.0,0.0,24,33.5,2022,23
Kevin Harvick,13,4,1,1,26,7.0,10,106,96,52,49.1,22,332,83.0,55.0,13.8,400,120.6,2022,24
Christopher Bell,21,19,2,2,29,13.0,22,131,109,52,39.7,32,224,56.0,0.0,0.0,400,92.5,2022,24
Chris Buescher,18,7,3,2,26,9.0,9,136,127,59,43.4,26,314,78.5,0.0,0.0,400,104.7,2022,24
Denny Hamlin,3,3,4,1,17,4.0,7,93,86,66,71.0,36,400,100.0,22.0,5.5,400,121.5,2022,24
Chase Elliott,23,8,5,1,23,9.0,16,119,103,71,59.7,11,363,90.8,1.0,0.3,400,101.4,2022,24
Joey Logano,17,1,6,1,21,3.0,9,71,62,39,54.9,41,397,99.3,222.0,55.5,400,131.4,2022,24
Martin Truex Jr,6,14,7,3,25,10.0,-8,117,125,64,54.7,15,385,96.3,0.0,0.0,400,92.9,2022,24
Aric Almirola,32,6,8,2,32,9.0,20,121,101,64,52.9,27,349,87.3,0.0,0.0,400,94.6,2022,24
Kyle Busch,29,11,9,3,29,13.0,15,159,144,68,42.8,2,271,67.8,0.0,0.0,400,78.9,2022,24
Ryan Blaney,10,5,10,1,21,7.0,5,105,100,63,60.0,11,395,98.8,1.0,0.3,400,104.4,2022,24
William Byron,4,15,11,3,24,12.0,-7,121,128,58,47.9,3,301,75.3,0.0,0.0,400,81.6,2022,24
Austin Cindric,33,17,12,10,33,18.0,16,132,116,15,11.4,3,96,24.1,0.0,0.0,399,66.8,2022,24
Bubba Wallace,11,16,13,3,25,16.0,-1,141,142,49,34.8,3,209,52.4,0.0,0.0,399,70.1,2022,24
Kyle Larson,1,2,14,1,21,5.0,-14,67,81,38,56.7,28,390,97.7,11.0,2.8,399,101.8,2022,24
Brad Keselowski,8,10,15,4,26,11.0,-4,73,77,37,50.7,10,352,88.2,0.0,0.0,399,81.6,2022,24
Austin Dillon,12,28,16,11,33,24.0,-6,86,92,17,19.8,5,38,9.5,0.0,0.0,399,57.4,2022,24
Ty Dillon,22,12,17,7,28,17.0,11,137,126,44,32.1,2,168,42.2,0.0,0.0,398,64.1,2022,24
Ross Chastain,2,13,18,1,26,11.0,-20,120,140,48,40.0,18,262,65.8,80.0,20.1,398,88.4,2022,24
Daniel Suarez,24,26,19,6,29,23.0,5,117,112,8,6.8,7,10,2.5,0.0,0.0,398,52.3,2022,24
Alex Bowman,5,27,20,4,28,19.0,-6,97,103,18,18.6,21,94,23.6,0.0,0.0,398,63.7,2022,24
Justin Haley,27,21,21,1,30,23.0,4,127,123,4,3.2,2,3,0.8,0.0,0.0,398,49.1,2022,24
Ricky Stenhouse Jr,20,22,22,1,32,20.0,-6,121,127,17,14.1,16,58,14.6,6.0,1.5,398,57.9,2022,24
Chase Briscoe,15,9,23,2,27,14.0,-11,141,152,88,62.4,8,299,75.3,0.0,0.0,397,73.9,2022,24
Noah Gragson,19,18,24,2,30,22.0,-1,137,138,8,5.8,6,20,5.0,0.0,0.0,397,48.1,2022,24
Harrison Burton,30,23,25,17,35,25.0,5,88,83,0,0.0,1,0,0.0,0.0,0.0,397,45.4,2022,24
Cole Custer,7,24,26,1,28,20.0,-11,126,137,34,27.0,1,129,32.5,2.0,0.5,397,70.3,2022,24
Todd Gilliland,16,25,27,3,29,25.0,-12,134,146,7,5.2,1,3,0.8,0.0,0.0,397,47.6,2022,24
Corey LaJoie,31,31,28,26,36,30.0,3,59,56,0,0.0,0,0,0.0,0.0,0.0,397,41.7,2022,24
Michael McDowell,34,30,29,25,35,30.0,0,56,56,0,0.0,1,0,0.0,0.0,0.0,395,36.7,2022,24
Landon Cassill,25,32,30,25,36,32.0,-3,43,46,0,0.0,0,0,0.0,0.0,0.0,395,33.8,2022,24
Tyler Reddick,26,29,31,24,35,30.0,1,52,51,0,0.0,0,0,0.0,0.0,0.0,394,37.7,2022,24
J.J. Yeley,35,33,32,28,36,33.0,-2,41,43,0,0.0,7,0,0.0,0.0,0.0,393,28.7,2022,24
B.J. McLeod,36,34,33,30,36,34.0,0,37,37,0,0.0,0,0,0.0,0.0,0.0,392,26.0,2022,24
Cody Ware,28,35,34,28,36,34.0,-6,25,31,0,0.0,0,0,0.0,0.0,0.0,391,27.3,2022,24
Erik Jones,9,20,35,9,30,26.0,-18,58,76,2,3.4,0,39,16.3,0.0,0.0,240,46.7,2022,24
Ty Gibbs,14,36,36,12,24,27.0,-24,65,89,19,29.2,0,99,55.0,0.0,0.0,180,43.0,2022,24
Kyle Larson,2,6,1,1,30,8.0,-12,65,77,28,43.1,10,78,86.7,5.0,5.6,90,112.0,2022,25
A.J. Allmendinger,6,7,2,2,35,12.0,18,97,79,30,30.9,7,66,73.3,0.0,0.0,90,106.4,2022,25
Joey Logano,20,23,3,1,35,9.0,32,105,73,37,35.2,2,71,78.9,15.0,16.7,90,114.1,2022,25
Chase Elliott,1,2,4,1,24,4.0,-17,30,47,20,66.7,22,85,94.4,29.0,32.2,90,124.8,2022,25
Daniel Suarez,9,11,5,2,27,11.0,23,92,69,44,47.8,1,75,83.3,0.0,0.0,90,105.2,2022,25
Michael McDowell,3,1,6,1,25,4.0,-10,66,76,27,40.9,6,88,97.8,14.0,15.6,90,119.3,2022,25
Tyler Reddick,5,29,7,1,34,14.0,24,91,67,30,33.0,5,55,61.1,2.0,2.2,90,88.2,2022,25
Christopher Bell,38,4,8,3,38,13.0,12,83,71,25,30.1,0,67,74.4,0.0,0.0,90,92.7,2022,25
Chris Buescher,7,5,9,3,35,11.0,-15,107,122,32,29.9,1,73,81.1,0.0,0.0,90,104.9,2022,25
Erik Jones,31,10,10,5,31,15.0,27,108,81,27,25.0,0,47,52.2,0.0,0.0,90,80.2,2022,25
Cole Custer,29,27,11,1,31,14.0,27,104,77,19,18.3,0,58,64.4,7.0,7.8,90,93.4,2022,25
Kevin Harvick,24,14,12,10,36,22.0,6,101,95,13,12.9,0,28,31.1,0.0,0.0,90,59.0,2022,25
Austin Cindric,8,21,13,2,33,16.0,11,110,99,28,25.5,0,49,54.4,0.0,0.0,90,76.2,2022,25
Alex Bowman,11,15,14,3,32,18.0,-19,68,87,23,33.8,1,36,40.0,0.0,0.0,90,65.2,2022,25
Ricky Stenhouse Jr,21,8,15,2,30,16.0,-10,79,89,27,34.2,0,49,54.4,0.0,0.0,90,67.2,2022,25
Ty Dillon,28,26,16,3,30,16.0,24,104,80,20,19.2,0,34,37.8,0.0,0.0,90,80.8,2022,25
Austin Dillon,12,33,17,1,34,17.0,2,101,99,23,22.8,0,39,43.3,6.0,6.7,90,76.8,2022,25
Justin Haley,13,13,18,7,39,25.0,-11,93,104,9,9.7,2,15,16.7,0.0,0.0,90,60.0,2022,25
Brad Keselowski,15,17,19,4,31,21.0,-2,99,101,11,11.1,0,12,13.3,0.0,0.0,90,59.5,2022,25
Denny Hamlin,22,34,20,13,38,27.0,-3,83,86,3,3.6,0,4,4.4,0.0,0.0,90,48.8,2022,25
Ross Chastain,18,16,21,4,34,19.0,3,91,88,27,29.7,1,35,38.9,0.0,0.0,90,67.6,2022,25
William Byron,4,12,22,4,34,22.0,7,84,77,16,19.0,0,20,22.2,0.0,0.0,90,52.3,2022,25
Martin Truex Jr,25,22,23,14,35,21.0,-20,102,122,7,6.9,1,15,16.7,0.0,0.0,90,58.7,2022,25
Ryan Blaney,26,9,24,4,31,18.0,-19,69,88,11,15.9,0,30,33.3,0.0,0.0,90,65.3,2022,25
Chase Briscoe,14,32,25,1,35,25.0,5,101,96,19,18.8,3,18,20.0,7.0,7.8,90,47.5,2022,25
Ty Gibbs,16,19,26,16,35,28.0,12,77,65,0,0.0,2,0,0.0,0.0,0.0,90,48.0,2022,25
Corey LaJoie,32,30,27,2,33,18.0,-7,100,107,12,12.0,0,40,44.4,0.0,0.0,90,63.5,2022,25
Harrison Burton,30,18,28,17,39,29.0,-14,67,81,0,0.0,0,0,0.0,0.0,0.0,90,37.8,2022,25
Aric Almirola,35,24,29,14,39,30.0,-14,70,84,0,0.0,0,1,1.1,0.0,0.0,90,40.0,2022,25
Mike Rockenfeller,33,31,30,3,34,25.0,-15,99,114,16,16.2,0,16,17.8,0.0,0.0,90,47.3,2022,25
Joey Hand,17,3,31,3,32,15.0,-12,71,83,16,22.5,1,45,50.0,0.0,0.0,90,72.6,2022,25
Kyle Busch,10,28,32,2,34,17.0,23,102,79,18,17.6,5,44,49.4,0.0,0.0,89,82.4,2022,25
Loris Hezemans,34,20,33,11,37,27.0,-17,73,90,2,2.7,0,12,13.5,0.0,0.0,89,41.0,2022,25
Cody Ware,39,36,34,30,39,35.0,4,25,21,0,0.0,0,0,0.0,0.0,0.0,88,29.7,2022,25
Bubba Wallace,23,25,35,12,37,26.0,10,87,77,2,2.3,0,2,2.4,0.0,0.0,83,47.3,2022,25
Daniil Kvyat,36,38,36,24,39,37.0,1,30,29,0,0.0,0,0,0.0,0.0,0.0,58,28.5,2022,25
Kimi Raikkonen,27,35,37,8,32,28.0,-25,48,73,6,12.5,0,16,36.4,0.0,0.0,44,45.8,2022,25
Todd Gilliland,19,37,38,1,36,28.0,-25,39,64,26,66.7,3,27,96.4,5.0,17.9,28,74.4,2022,25
Kyle Tilley,37,39,39,32,39,39.0,-3,20,23,0,0.0,0,0,0.0,0.0,0.0,15,23.2,2022,25
Austin Dillon,21,22,1,1,32,16.0,16,289,273,102,35.3,2,70,43.8,10.0,6.3,160,87.6,2022,26
Tyler Reddick,6,3,2,1,33,12.0,-13,289,302,148,51.2,5,102,63.8,13.0,8.1,160,97.2,2022,26
Austin Cindric,14,19,3,1,37,18.0,-42,225,267,59,26.2,2,52,32.5,13.0,8.1,160,66.3,2022,26
Landon Cassill,35,27,4,3,37,22.0,-21,163,184,23,14.1,5,42,26.3,0.0,0.0,160,65.2,2022,26
Noah Gragson,37,29,5,3,37,24.0,9,153,144,17,11.1,8,32,20.0,0.0,0.0,160,59.4,2022,26
Cody Ware,33,32,6,2,37,25.0,-20,125,145,26,20.8,4,32,20.0,0.0,0.0,160,50.6,2022,26
B.J. McLeod,36,1,7,1,37,25.0,-9,158,167,23,14.6,9,29,18.1,2.0,1.3,160,53.7,2022,26
Martin Truex Jr,13,9,8,1,31,13.0,11,266,255,138,51.9,5,105,65.6,1.0,0.6,160,82.7,2022,26
David Ragan,34,31,9,4,36,24.0,4,172,168,20,11.6,5,24,15.0,0.0,0.0,160,54.2,2022,26
Kyle Busch,22,5,10,1,37,13.0,41,306,265,139,45.4,6,101,63.1,7.0,4.4,160,76.5,2022,26
Bubba Wallace,30,11,11,1,32,14.0,10,300,290,145,48.3,7,102,64.2,2.0,1.3,159,73.8,2022,26
Joey Logano,3,13,12,1,27,8.0,11,192,181,139,72.4,3,136,86.1,14.0,8.9,158,100.7,2022,26
Ty Gibbs,23,33,13,7,34,27.0,11,73,62,7,9.6,1,20,12.7,0.0,0.0,158,51.0,2022,26
Alex Bowman,10,12,14,1,27,11.0,-9,266,275,217,81.6,3,126,80.8,11.0,7.1,156,89.2,2022,26
Ryan Blaney,16,34,15,3,34,27.0,17,77,60,45,58.4,0,25,16.2,0.0,0.0,154,54.8,2022,26
Cole Custer,15,25,16,5,30,16.0,-5,258,263,125,48.5,5,71,46.4,0.0,0.0,153,61.1,2022,26
Erik Jones,11,28,17,1,32,12.0,2,248,246,129,52.0,4,101,68.2,22.0,14.9,148,91.5,2022,26
Ty Dillon,25,24,18,1,32,21.0,-6,233,239,22,9.4,6,31,21.5,1.0,0.7,144,52.3,2022,26
Harrison Burton,29,6,19,2,31,13.0,30,284,254,153,53.9,2,99,70.7,0.0,0.0,140,86.8,2022,26
Kevin Harvick,7,18,20,2,33,15.0,27,276,249,144,52.2,3,88,63.3,0.0,0.0,139,91.5,2022,26
Aric Almirola,27,20,21,2,28,17.0,-12,293,305,108,36.9,5,60,43.5,0.0,0.0,138,67.8,2022,26
Ricky Stenhouse Jr,20,4,22,2,34,14.0,12,270,258,110,40.7,6,79,57.2,0.0,0.0,138,83.7,2022,26
Todd Gilliland,32,17,23,3,32,15.0,13,287,274,133,46.3,2,78,56.5,0.0,0.0,138,80.0,2022,26
Daniel Suarez,4,14,24,1,30,17.0,-26,246,272,114,46.3,2,62,45.3,2.0,1.5,137,63.7,2022,26
Denny Hamlin,19,7,25,1,33,11.0,22,294,272,233,79.3,1,119,86.9,13.0,9.5,137,97.8,2022,26
Daniel Hemric,28,21,26,3,37,20.0,-3,270,273,122,45.2,2,60,43.8,0.0,0.0,137,56.8,2022,26
Chris Buescher,8,30,27,1,30,18.0,-22,279,301,115,41.2,5,58,42.3,1.0,0.7,137,56.7,2022,26
Justin Haley,18,10,28,1,32,18.0,-19,224,243,140,62.5,2,74,54.0,8.0,5.8,137,62.2,2022,26
Chase Elliott,2,2,29,1,28,13.0,1,272,271,143,52.6,3,95,69.3,31.0,22.6,137,92.7,2022,26
Corey LaJoie,31,16,30,1,31,20.0,20,210,190,126,60.0,1,66,48.2,6.0,4.4,137,67.3,2022,26
Chase Briscoe,26,26,31,1,33,24.0,10,189,179,38,20.1,1,26,21.0,0.0,0.0,124,48.7,2022,26
Michael McDowell,9,23,32,1,29,21.0,-20,191,211,83,43.5,4,55,54.5,2.0,2.0,101,64.2,2022,26
Ross Chastain,12,8,33,2,28,22.0,-16,190,206,107,56.3,2,55,54.5,0.0,0.0,101,64.4,2022,26
William Byron,17,15,34,1,23,20.0,-8,193,201,142,73.6,0,80,79.2,1.0,1.0,101,80.2,2022,26
Brad Keselowski,24,35,35,11,35,32.0,13,88,75,16,18.2,0,6,19.4,0.0,0.0,31,31.5,2022,26
Christopher Bell,5,36,36,3,8,30.0,-3,25,28,25,100.0,0,30,100.0,0.0,0.0,30,58.3,2022,26
Kyle Larson,1,37,37,1,37,35.0,-36,29,65,14,48.3,0,9,64.3,0.0,0.0,14,23.2,2022,26
Erik Jones,15,6,1,1,16,7.0,10,58,48,46,79.3,8,364,99.2,23.0,6.3,367,107.5,2022,27
Denny Hamlin,11,2,2,1,21,5.0,13,77,64,59,76.6,22,366,99.7,6.0,1.6,367,117.6,2022,27
Tyler Reddick,4,9,3,2,20,8.0,11,79,68,56,70.9,9,339,92.4,0.0,0.0,367,99.9,2022,27
Joey Logano,1,10,4,1,19,7.0,-4,75,79,51,68.0,25,363,98.9,64.0,17.4,367,108.7,2022,27
Christopher Bell,2,5,5,1,15,6.0,-4,54,58,44,81.5,11,367,100.0,0.0,0.0,367,109.3,2022,27
Michael McDowell,10,13,6,5,24,11.0,22,96,74,60,62.5,6,330,89.9,0.0,0.0,367,88.4,2022,27
Brad Keselowski,25,19,7,1,32,16.0,4,99,95,27,27.3,4,124,33.8,11.0,3.0,367,77.0,2022,27
William Byron,3,3,8,1,17,5.0,-1,61,62,50,82.0,24,366,99.7,50.0,13.6,367,113.3,2022,27
Bubba Wallace,8,17,9,1,20,10.0,-8,80,88,53,66.3,3,336,91.6,4.0,1.1,367,86.7,2022,27
Alex Bowman,16,15,10,3,23,13.0,0,78,78,50,64.1,1,296,80.7,0.0,0.0,367,83.1,2022,27
Aric Almirola,22,21,11,11,28,20.0,8,71,63,5,7.0,2,24,6.5,0.0,0.0,367,67.0,2022,27
Kyle Larson,7,28,12,6,35,21.0,-10,80,90,32,40.0,11,146,39.8,0.0,0.0,367,78.5,2022,27
Ryan Blaney,9,7,13,3,25,9.0,1,83,82,59,71.1,2,363,98.9,0.0,0.0,367,89.1,2022,27
Cole Custer,30,12,14,6,30,15.0,-4,93,97,38,40.9,2,212,57.8,0.0,0.0,367,73.8,2022,27
Ty Gibbs,21,18,15,2,34,19.0,8,140,132,33,23.6,3,109,29.7,0.0,0.0,367,62.8,2022,27
Austin Cindric,6,14,16,5,25,15.0,-16,71,87,24,33.8,2,163,44.4,0.0,0.0,367,71.8,2022,27
Austin Dillon,13,20,17,6,32,21.0,-8,64,72,0,0.0,1,8,2.2,0.0,0.0,367,55.7,2022,27
Daniel Suarez,36,11,18,4,36,17.0,20,111,91,27,24.3,11,140,38.1,0.0,0.0,367,72.1,2022,27
Justin Haley,14,25,19,11,30,22.0,-1,73,74,3,4.1,0,18,4.9,0.0,0.0,366,56.5,2022,27
Ross Chastain,12,32,20,1,33,18.0,-22,68,90,32,47.1,49,159,43.4,1.0,0.3,366,88.8,2022,27
Harrison Burton,28,23,21,14,33,24.0,-2,88,90,6,6.8,1,4,1.1,0.0,0.0,366,48.2,2022,27
Ty Dillon,29,22,22,18,33,26.0,-4,94,98,0,0.0,1,0,0.0,0.0,0.0,366,46.2,2022,27
Daniel Hemric,24,26,23,20,35,27.0,-3,67,70,0,0.0,0,0,0.0,0.0,0.0,365,40.8,2022,27
Corey LaJoie,34,16,24,1,36,20.0,-2,82,84,7,8.5,1,51,14.0,4.0,1.1,365,55.2,2022,27
Landon Cassill,26,24,25,1,35,27.0,-9,65,74,0,0.0,8,2,0.5,1.0,0.3,365,39.0,2022,27
Chris Buescher,27,27,26,20,36,28.0,-2,78,80,0,0.0,2,0,0.0,0.0,0.0,365,38.6,2022,27
Chase Briscoe,19,31,27,18,33,29.0,-13,47,60,0,0.0,0,0,0.0,0.0,0.0,363,38.8,2022,27
Todd Gilliland,31,34,28,8,34,28.0,3,70,67,2,2.9,1,2,0.6,0.0,0.0,363,43.6,2022,27
B.J. McLeod,35,33,29,2,36,33.0,4,29,25,0,0.0,0,2,0.6,0.0,0.0,361,28.8,2022,27
Kyle Busch,5,1,30,1,11,4.0,8,39,31,26,66.7,35,345,100.0,155.0,44.9,345,114.8,2022,27
Martin Truex Jr,17,4,31,1,24,8.0,-2,80,82,47,58.8,46,314,93.5,48.0,14.3,336,98.8,2022,27
Cody Ware,32,30,32,10,35,32.0,-9,52,61,2,3.8,0,1,0.3,0.0,0.0,331,29.2,2022,27
Kevin Harvick,18,8,33,4,36,20.0,24,62,38,15,24.2,0,127,46.4,0.0,0.0,274,57.8,2022,27
J.J. Yeley,33,29,34,28,35,33.0,1,20,19,0,0.0,0,0,0.0,0.0,0.0,236,28.3,2022,27
Ricky Stenhouse Jr,20,35,35,11,36,32.0,-15,12,27,1,8.3,6,1,0.6,0.0,0.0,164,36.9,2022,27
Chase Elliott,23,36,36,12,28,30.0,8,35,27,9,25.7,0,63,55.8,0.0,0.0,113,41.0,2022,27
Bubba Wallace,6,10,1,1,32,6.0,20,98,78,66,67.3,17,246,92.1,58.0,21.7,267,125.9,2022,28
Denny Hamlin,25,16,2,2,33,12.0,40,147,107,62,42.2,12,180,67.4,0.0,0.0,267,100.3,2022,28
Christopher Bell,4,7,3,1,16,4.0,6,53,47,43,81.1,17,266,99.6,12.0,4.5,267,119.7,2022,28
Alex Bowman,3,1,4,1,25,4.0,5,55,50,39,70.9,34,259,97.0,107.0,40.1,267,128.2,2022,28
Martin Truex Jr,12,14,5,1,32,11.0,64,137,73,66,48.2,22,209,78.3,24.0,9.0,267,99.4,2022,28
William Byron,9,3,6,1,24,7.0,-13,68,81,56,82.4,7,253,94.8,9.0,3.4,267,102.2,2022,28
Ross Chastain,5,12,7,3,23,8.0,-2,92,94,71,77.2,1,261,97.8,0.0,0.0,267,97.1,2022,28
Kyle Larson,7,9,8,2,25,9.0,-5,100,105,89,89.0,7,261,97.8,0.0,0.0,267,96.1,2022,28
Ryan Blaney,17,8,9,1,33,10.0,34,111,77,67,60.4,8,227,85.0,2.0,0.7,267,95.7,2022,28
Daniel Suarez,15,21,10,1,29,14.0,3,103,100,54,52.4,20,169,63.3,8.0,3.0,267,84.3,2022,28
Chase Elliott,22,4,11,3,31,12.0,5,104,99,62,59.6,3,211,79.0,0.0,0.0,267,83.4,2022,28
Austin Cindric,8,6,12,4,29,11.0,-12,90,102,68,75.6,3,240,89.9,0.0,0.0,267,83.6,2022,28
Chase Briscoe,13,5,13,2,34,16.0,5,115,110,56,48.7,2,156,58.4,0.0,0.0,267,74.8,2022,28
Austin Dillon,11,23,14,1,31,17.0,-26,81,107,41,50.6,0,102,38.2,3.0,1.1,267,70.2,2022,28
Chris Buescher,10,20,15,7,35,19.0,-19,68,87,26,38.2,1,125,46.8,0.0,0.0,267,73.9,2022,28
Michael McDowell,23,15,16,1,27,17.0,-7,112,119,24,21.4,0,85,31.8,1.0,0.4,267,64.8,2022,28
Joey Logano,2,2,17,1,21,8.0,-18,83,101,63,75.9,9,225,84.6,2.0,0.8,266,90.3,2022,28
Noah Gragson,28,25,18,4,34,23.0,-9,104,113,8,7.7,0,10,3.8,0.0,0.0,266,49.8,2022,28
Justin Haley,27,11,19,9,32,17.0,8,135,127,37,27.4,2,109,41.0,0.0,0.0,266,63.2,2022,28
Ty Dillon,21,18,20,3,33,23.0,-1,117,118,12,10.3,0,13,4.9,0.0,0.0,266,51.8,2022,28
Aric Almirola,36,24,21,1,36,23.0,43,124,81,1,0.8,6,13,4.9,3.0,1.1,266,49.3,2022,28
Cole Custer,29,19,22,11,30,21.0,-20,97,117,7,7.2,2,17,6.4,0.0,0.0,266,52.7,2022,28
Todd Gilliland,32,26,23,9,34,26.0,-23,70,93,4,5.7,0,5,1.9,0.0,0.0,266,40.2,2022,28
