driver_name,season_year,race_number,race_season_points,wins,stage_wins,race_playoff_points,race_finish_points,race_stage_points
Daniel Suarez,2022,15,18,0,0,0,14,4
Chase Briscoe,2022,15,13,0,0,0,13,0
Harrison Burton,2022,15,12,0,0,0,12,0
Bubba Wallace,2022,15,11,0,0,0,11,0
Ty Dillon,2022,15,10,0,0,0,10,0
Josh Bilicki,2022,15,0,0,0,0,9,0
Cole Custer,2022,15,11,0,0,0,8,3
B.J. McLeod,2022,15,7,0,0,0,7,0
Parker Kligerman,2022,15,0,0,0,0,6,0
Ricky Stenhouse Jr,2022,15,5,0,0,0,5,0
Kevin Harvick,2022,15,4,0,0,0,4,0
Denny Hamlin,2022,15,10,0,0,0,3,7
Cody Ware,2022,15,2,0,0,0,2,0
Corey LaJoie,2022,15,1,0,0,0,1,0
Daniel Suarez,2022,16,47,1,0,5,40,7
Chris Buescher,2022,16,43,0,0,0,35,8
Michael McDowell,2022,16,37,0,0,0,34,3
Kevin Harvick,2022,16,39,0,0,0,33,6
Austin Cindric,2022,16,32,0,0,0,32,0
Ryan Blaney,2022,16,32,0,0,0,31,1
Ross Chastain,2022,16,30,0,0,0,30,0
Chase Elliott,2022,16,29,0,0,0,29,0
William Byron,2022,16,28,0,0,0,28,0
Brad Keselowski,2022,16,27,0,0,0,27,0
Austin Dillon,2022,16,26,0,0,0,26,0
Justin Haley,2022,16,32,0,0,0,25,7
Chase Briscoe,2022,16,24,0,0,0,24,0
Aric Almirola,2022,16,38,0,0,0,23,15
Kyle Larson,2022,16,32,0,1,1,22,10
Alex Bowman,2022,16,21,0,0,0,21,0
Joey Logano,2022,16,39,0,1,1,20,19
Kurt Busch,2022,16,22,0,0,0,19,3
A.J. Allmendinger,2022,16,0,0,0,0,18,0
Joey Hand,2022,16,17,0,0,0,17,0
Cole Custer,2022,16,16,0,0,0,16,0
Erik Jones,2022,16,15,0,0,0,15,0
Ty Dillon,2022,16,14,0,0,0,14,0
Todd Gilliland,2022,16,18,0,0,0,13,5
Ricky Stenhouse Jr,2022,16,16,0,0,0,12,4
Martin Truex Jr,2022,16,11,0,0,0,11,0
Christopher Bell,2022,16,10,0,0,0,10,0
Harrison Burton,2022,16,18,0,0,0,9,9
Josh Bilicki,2022,16,0,0,0,0,8,4
Kyle Busch,2022,16,15,0,0,0,7,8
Denny Hamlin,2022,16,6,0,0,0,6,0
Cody Ware,2022,16,6,0,0,0,5,1
Scott Heckert,2022,16,0,0,0,0,4,0
Corey LaJoie,2022,16,3,0,0,0,3,0
Tyler Reddick,2022,16,2,0,0,0,2,0
Bubba Wallace,2022,16,1,0,0,0,1,0
Chase Elliott,2022,17,50,1,0,5,40,10
Kurt Busch,2022,17,42,0,0,0,35,7
Ryan Blaney,2022,17,44,0,0,0,34,10
Kyle Larson,2022,17,43,0,0,0,33,10
Ross Chastain,2022,17,36,0,0,0,32,4
Denny Hamlin,2022,17,49,0,0,0,31,18
Austin Cindric,2022,17,30,0,0,0,30,0
Christopher Bell,2022,17,36,0,0,0,29,7
Joey Logano,2022,17,28,0,0,0,28,0
Kevin Harvick,2022,17,36,0,0,0,27,9
Erik Jones,2022,17,26,0,0,0,26,0
Bubba Wallace,2022,17,29,0,0,0,25,4
Michael McDowell,2022,17,25,0,0,0,24,1
Austin Dillon,2022,17,23,0,0,0,23,0
Daniel Suarez,2022,17,22,0,0,0,22,0
Ricky Stenhouse Jr,2022,17,21,0,0,0,21,0
Aric Almirola,2022,17,20,0,0,0,20,0
Tyler Reddick,2022,17,19,0,0,0,19,0
A.J. Allmendinger,2022,17,0,0,0,0,18,0
Corey LaJoie,2022,17,17,0,0,0,17,0
Kyle Busch,2022,17,26,0,0,0,16,10
Martin Truex Jr,2022,17,35,0,2,2,15,20
Justin Haley,2022,17,14,0,0,0,14,0
Todd Gilliland,2022,17,13,0,0,0,13,0
Harrison Burton,2022,17,12,0,0,0,12,0
Cole Custer,2022,17,11,0,0,0,11,0
Cody Ware,2022,17,10,0,0,0,10,0
J.J. Yeley,2022,17,0,0,0,0,9,0
Brad Keselowski,2022,17,8,0,0,0,8,0
Chris Buescher,2022,17,7,0,0,0,7,0
Ty Dillon,2022,17,6,0,0,0,6,0
B.J. McLeod,2022,17,0,0,0,0,5,0
Josh Bilicki,2022,17,0,0,0,0,4,0
Chase Briscoe,2022,17,3,0,0,0,3,0
William Byron,2022,17,2,0,0,0,2,0
Alex Bowman,2022,17,1,0,0,0,1,0
Tyler Reddick,2022,18,41,1,0,5,40,1
Chase Elliott,2022,18,38,0,0,0,35,3
Kyle Larson,2022,18,34,0,0,0,34,0
Ross Chastain,2022,18,33,0,0,0,33,0
Daniel Suarez,2022,18,32,0,0,0,32,0
Chris Buescher,2022,18,31,0,0,0,31,0
Austin Cindric,2022,18,39,0,0,0,30,9
Michael McDowell,2022,18,29,0,0,0,29,0
A.J. Allmendinger,2022,18,0,0,0,0,28,0
Kevin Harvick,2022,18,27,0,0,0,27,0
Ryan Blaney,2022,18,36,0,1,1,26,10
Alex Bowman,2022,18,33,0,0,0,25,8
Martin Truex Jr,2022,18,24,0,0,0,24,0
Chase Briscoe,2022,18,33,0,1,1,23,10
Cole Custer,2022,18,22,0,0,0,22,0
William Byron,2022,18,21,0,0,0,21,0
Denny Hamlin,2022,18,20,0,0,0,20,0
Christopher Bell,2022,18,19,0,0,0,19,0
Ricky Stenhouse Jr,2022,18,18,0,0,0,18,0
Ty Dillon,2022,18,25,0,0,0,17,8
Joey Hand,2022,18,25,0,0,0,16,9
Harrison Burton,2022,18,24,0,0,0,15,9
Kurt Busch,2022,18,27,0,0,0,14,13
Justin Haley,2022,18,20,0,0,0,13,7
Todd Gilliland,2022,18,12,0,0,0,12,0
Erik Jones,2022,18,20,0,0,0,11,9
Joey Logano,2022,18,17,0,0,0,10,7
Aric Almirola,2022,18,9,0,0,0,9,0
Kyle Busch,2022,18,8,0,0,0,8,0
Kyle Tilley,2022,18,7,0,0,0,7,0
Austin Dillon,2022,18,6,0,0,0,6,0
Cody Ware,2022,18,5,0,0,0,5,0
Brad Keselowski,2022,18,4,0,0,0,4,0
Corey LaJoie,2022,18,3,0,0,0,3,0
Bubba Wallace,2022,18,9,0,0,0,2,7
Josh Bilicki,2022,18,0,0,0,0,1,0
Loris Hezemans,2022,18,0,0,0,0,1,0
Chase Elliott,2022,19,60,1,2,7,40,20
Ross Chastain,2022,19,45,0,0,0,35,10
Austin Cindric,2022,19,34,0,0,0,34,0
Erik Jones,2022,19,33,0,0,0,33,0
Ryan Blaney,2022,19,46,0,0,0,32,14
Daniel Suarez,2022,19,31,0,0,0,31,0
Justin Haley,2022,19,30,0,0,0,30,0
Aric Almirola,2022,19,29,0,0,0,29,0
Cole Custer,2022,19,28,0,0,0,28,0
Harrison Burton,2022,19,31,0,0,0,27,4
Martin Truex Jr,2022,19,26,0,0,0,26,0
Kevin Harvick,2022,19,25,0,0,0,25,0
Kyle Larson,2022,19,26,0,0,0,24,2
Bubba Wallace,2022,19,23,0,0,0,23,0
Michael McDowell,2022,19,22,0,0,0,22,0
Chase Briscoe,2022,19,21,0,0,0,21,0
Todd Gilliland,2022,19,20,0,0,0,20,0
Brad Keselowski,2022,19,27,0,0,0,19,8
Christopher Bell,2022,19,24,0,0,0,18,6
Kyle Busch,2022,19,22,0,0,0,17,5
Corey LaJoie,2022,19,17,0,0,0,16,1
Kurt Busch,2022,19,25,0,0,0,15,10
Cody Ware,2022,19,14,0,0,0,14,0
Landon Cassill,2022,19,0,0,0,0,13,0
Denny Hamlin,2022,19,15,0,0,0,12,3
Joey Logano,2022,19,11,0,0,0,11,0
Garrett Smithley,2022,19,0,0,0,0,10,0
Ty Dillon,2022,19,9,0,0,0,9,0
Tyler Reddick,2022,19,17,0,0,0,8,9
William Byron,2022,19,16,0,0,0,7,9
Ricky Stenhouse Jr,2022,19,6,0,0,0,6,0
Alex Bowman,2022,19,14,0,0,0,5,9
Chris Buescher,2022,19,4,0,0,0,4,0
Noah Gragson,2022,19,0,0,0,0,3,0
Austin Dillon,2022,19,2,0,0,0,2,0
B.J. McLeod,2022,19,0,0,0,0,1,0
Christopher Bell,2022,20,47,1,0,5,40,7
Chase Elliott,2022,20,50,0,0,0,35,15
Bubba Wallace,2022,20,44,0,0,0,34,10
Martin Truex Jr,2022,20,53,0,2,2,33,20
Kevin Harvick,2022,20,47,0,0,0,32,15
Denny Hamlin,2022,20,32,0,0,0,31,1
Brad Keselowski,2022,20,30,0,0,0,30,0
Ross Chastain,2022,20,33,0,0,0,29,4
Daniel Suarez,2022,20,28,0,0,0,28,0
Kurt Busch,2022,20,36,0,0,0,27,9
William Byron,2022,20,31,0,0,0,26,5
Kyle Busch,2022,20,25,0,0,0,25,0
Austin Cindric,2022,20,24,0,0,0,24,0
Kyle Larson,2022,20,37,0,0,0,23,14
Chase Briscoe,2022,20,22,0,0,0,22,0
A.J. Allmendinger,2022,20,0,0,0,0,21,0
Chris Buescher,2022,20,20,0,0,0,20,0
Ryan Blaney,2022,20,19,0,0,0,19,0
Erik Jones,2022,20,18,0,0,0,18,0
Justin Haley,2022,20,17,0,0,0,17,0
Tyler Reddick,2022,20,16,0,0,0,16,0
Ricky Stenhouse Jr,2022,20,15,0,0,0,15,0
Austin Dillon,2022,20,14,0,0,0,14,0
Joey Logano,2022,20,20,0,0,0,13,7
Todd Gilliland,2022,20,12,0,0,0,12,0
Harrison Burton,2022,20,11,0,0,0,11,0
Cole Custer,2022,20,10,0,0,0,10,0
Michael McDowell,2022,20,9,0,0,0,9,0
J.J. Yeley,2022,20,0,0,0,0,8,0
Cody Ware,2022,20,7,0,0,0,7,0
Aric Almirola,2022,20,9,0,0,0,6,3
Corey LaJoie,2022,20,5,0,0,0,5,0
Ty Dillon,2022,20,4,0,0,0,4,0
Josh Bilicki,2022,20,0,0,0,0,3,0
Alex Bowman,2022,20,2,0,0,0,2,0
B.J. McLeod,2022,20,0,0,0,0,1,0
Chase Elliott,2022,21,53,1,0,5,40,13
Tyler Reddick,2022,21,35,0,0,0,35,0
Daniel Suarez,2022,21,47,0,0,0,34,13
Christopher Bell,2022,21,35,0,0,0,33,2
Kyle Larson,2022,21,45,0,1,1,32,13
Michael McDowell,2022,21,-68,0,0,-10,31,1
Martin Truex Jr,2022,21,35,0,0,0,30,5
Bubba Wallace,2022,21,29,0,0,0,29,0
Erik Jones,2022,21,7,0,0,0,28,14
Austin Dillon,2022,21,27,0,0,0,27,0
Alex Bowman,2022,21,26,0,0,0,26,0
William Byron,2022,21,36,0,0,0,25,11
Aric Almirola,2022,21,24,0,0,0,24,0
Brad Keselowski,2022,21,23,0,0,0,23,0
Chase Briscoe,2022,21,22,0,0,0,22,0
Ty Gibbs,2022,21,0,0,0,0,21,0
Cole Custer,2022,21,20,0,0,0,20,0
Ricky Stenhouse Jr,2022,21,19,0,0,0,19,0
Corey LaJoie,2022,21,20,0,0,0,18,2
Joey Logano,2022,21,17,0,0,0,17,0
Justin Haley,2022,21,16,0,0,0,16,0
Ty Dillon,2022,21,-20,0,0,0,15,0
Harrison Burton,2022,21,14,0,0,0,14,0
Noah Gragson,2022,21,0,0,0,0,13,0
Todd Gilliland,2022,21,12,0,0,0,12,0
Cody Ware,2022,21,11,0,0,0,11,0
Kevin Harvick,2022,21,20,0,0,0,10,10
J.J. Yeley,2022,21,0,0,0,0,9,0
Chris Buescher,2022,21,8,0,0,0,8,0
B.J. McLeod,2022,21,0,0,0,0,7,0
Austin Cindric,2022,21,6,0,0,0,6,0
Ross Chastain,2022,21,15,0,1,1,5,10
Ryan Blaney,2022,21,20,0,0,0,4,16
Josh Bilicki,2022,21,0,0,0,0,3,0
Denny Hamlin,2022,21,2,0,0,0,2,0
Kyle Busch,2022,21,1,0,0,0,1,0
Tyler Reddick,2022,22,40,1,0,5,40,0
Austin Cindric,2022,22,35,0,0,0,35,0
Harrison Burton,2022,22,36,0,0,0,34,2
Todd Gilliland,2022,22,38,0,0,0,33,5
Bubba Wallace,2022,22,40,0,0,0,32,8
Joey Logano,2022,22,38,0,0,0,31,7
A.J. Allmendinger,2022,22,0,0,0,0,30,0
Michael McDowell,2022,22,29,0,0,0,29,0
Cole Custer,2022,22,31,0,0,0,28,3
Chris Buescher,2022,22,27,0,0,0,27,0
Kyle Busch,2022,22,38,0,0,0,26,12
Christopher Bell,2022,22,35,0,1,1,25,10
Ricky Stenhouse Jr,2022,22,24,0,0,0,24,0
Denny Hamlin,2022,22,28,0,0,0,23,5
Erik Jones,2022,22,24,0,0,0,22,2
Chase Elliott,2022,22,34,0,0,0,21,13
Ty Gibbs,2022,22,0,0,0,0,20,0
Corey LaJoie,2022,22,19,0,0,0,19,0
Justin Haley,2022,22,18,0,0,0,18,0
Brad Keselowski,2022,22,17,0,0,0,17,0
Martin Truex Jr,2022,22,17,0,0,0,16,1
Josh Bilicki,2022,22,0,0,0,0,15,0
Chase Briscoe,2022,22,28,0,1,1,14,14
Cody Ware,2022,22,14,0,0,0,13,1
Josh Williams,2022,22,0,0,0,0,12,0
Ryan Blaney,2022,22,20,0,0,0,11,9
Ross Chastain,2022,22,10,0,0,0,10,0
Daniel Suarez,2022,22,9,0,0,0,9,0
Joey Hand,2022,22,8,0,0,0,8,0
Austin Dillon,2022,22,7,0,0,0,7,0
William Byron,2022,22,14,0,0,0,6,8
Alex Bowman,2022,22,5,0,0,0,5,0
Kevin Harvick,2022,22,4,0,0,0,4,0
Ty Dillon,2022,22,9,0,0,0,3,6
Kyle Larson,2022,22,6,0,0,0,2,4
Daniil Kvyat,2022,22,1,0,0,0,1,0
Loris Hezemans,2022,22,0,0,0,0,1,0
Aric Almirola,2022,22,1,0,0,0,1,0
Kevin Harvick,2022,23,43,1,0,5,40,3
Bubba Wallace,2022,23,35,0,0,0,35,0
Denny Hamlin,2022,23,53,0,1,1,34,19
Joey Logano,2022,23,36,0,0,0,33,3
Ryan Blaney,2022,23,32,0,0,0,32,0
Martin Truex Jr,2022,23,38,0,0,0,31,7
Kyle Larson,2022,23,38,0,0,0,30,8
Erik Jones,2022,23,42,0,0,0,29,13
Alex Bowman,2022,23,31,0,0,0,28,3
Ty Gibbs,2022,23,0,0,0,0,27,0
Chase Elliott,2022,23,26,0,0,0,26,0
William Byron,2022,23,31,0,0,0,25,6
Austin Dillon,2022,23,28,0,0,0,24,4
Ty Dillon,2022,23,23,0,0,0,23,0
Brad Keselowski,2022,23,28,0,0,0,22,6
Chris Buescher,2022,23,27,0,0,0,21,6
Justin Haley,2022,23,20,0,0,0,20,0
Austin Hill,2022,23,0,0,0,0,19,0
Corey LaJoie,2022,23,18,0,0,0,18,0
Chase Briscoe,2022,23,18,0,0,0,17,1
Josh Bilicki,2022,23,0,0,0,0,16,0
Cody Ware,2022,23,15,0,0,0,15,0
B.J. McLeod,2022,23,0,0,0,0,14,0
Ross Chastain,2022,23,18,0,0,0,13,5
Daniel Suarez,2022,23,21,0,0,0,12,9
Christopher Bell,2022,23,28,0,1,1,11,17
Todd Gilliland,2022,23,10,0,0,0,10,0
Michael McDowell,2022,23,9,0,0,0,9,0
Tyler Reddick,2022,23,8,0,0,0,8,0
Noah Gragson,2022,23,0,0,0,0,7,0
Cole Custer,2022,23,6,0,0,0,6,0
Harrison Burton,2022,23,5,0,0,0,5,0
Ricky Stenhouse Jr,2022,23,4,0,0,0,4,0
Aric Almirola,2022,23,3,0,0,0,3,0
J.J. Yeley,2022,23,0,0,0,0,2,0
Kyle Busch,2022,23,1,0,0,0,1,0
Austin Cindric,2022,23,1,0,0,0,1,0
Kevin Harvick,2022,24,47,1,0,5,40,7
Christopher Bell,2022,24,35,0,0,0,35,0
Chris Buescher,2022,24,38,0,0,0,34,4
Denny Hamlin,2022,24,50,0,0,0,33,17
Chase Elliott,2022,24,35,0,0,0,32,3
Joey Logano,2022,24,45,0,1,1,31,14
Martin Truex Jr,2022,24,31,0,0,0,30,1
Aric Almirola,2022,24,34,0,0,0,29,5
Kyle Busch,2022,24,29,0,0,0,28,1
Ryan Blaney,2022,24,38,0,0,0,27,11
William Byron,2022,24,32,0,0,0,26,6
Austin Cindric,2022,24,25,0,0,0,25,0
Bubba Wallace,2022,24,24,0,0,0,24,0
Kyle Larson,2022,24,40,0,0,0,23,17
Brad Keselowski,2022,24,29,0,0,0,22,7
Austin Dillon,2022,24,21,0,0,0,21,0
Ty Dillon,2022,24,20,0,0,0,20,0
Ross Chastain,2022,24,29,0,1,1,19,10
Daniel Suarez,2022,24,18,0,0,0,18,0
Alex Bowman,2022,24,20,0,0,0,17,3
Justin Haley,2022,24,16,0,0,0,16,0
Ricky Stenhouse Jr,2022,24,15,0,0,0,15,0
Chase Briscoe,2022,24,16,0,0,0,14,2
Noah Gragson,2022,24,0,0,0,0,13,0
Harrison Burton,2022,24,12,0,0,0,12,0
Cole Custer,2022,24,13,0,0,0,11,2
Todd Gilliland,2022,24,10,0,0,0,10,0
Corey LaJoie,2022,24,9,0,0,0,9,0
Michael McDowell,2022,24,8,0,0,0,8,0
Landon Cassill,2022,24,0,0,0,0,7,0
Tyler Reddick,2022,24,6,0,0,0,6,0
J.J. Yeley,2022,24,0,0,0,0,5,0
B.J. McLeod,2022,24,0,0,0,0,4,0
Cody Ware,2022,24,3,0,0,0,3,0
Erik Jones,2022,24,2,0,0,0,2,0
Ty Gibbs,2022,24,0,0,0,0,1,0
Kyle Larson,2022,25,43,1,0,5,40,3
A.J. Allmendinger,2022,25,0,0,0,0,35,1
Joey Logano,2022,25,49,0,1,1,34,15
Chase Elliott,2022,25,40,0,0,0,33,7
Daniel Suarez,2022,25,40,0,0,0,32,8
Michael McDowell,2022,25,42,0,0,0,31,11
Tyler Reddick,2022,25,39,0,0,0,30,9
Christopher Bell,2022,25,30,0,0,0,29,1
Chris Buescher,2022,25,32,0,0,0,28,4
Erik Jones,2022,25,27,0,0,0,27,0
Cole Custer,2022,25,28,0,0,0,26,2
Kevin Harvick,2022,25,25,0,0,0,25,0
Austin Cindric,2022,25,24,0,0,0,24,0
Alex Bowman,2022,25,23,0,0,0,23,0
Ricky Stenhouse Jr,2022,25,22,0,0,0,22,0
Ty Dillon,2022,25,31,0,0,0,21,10
Austin Dillon,2022,25,20,0,0,0,20,0
Justin Haley,2022,25,19,0,0,0,19,0
Brad Keselowski,2022,25,18,0,0,0,18,0
Denny Hamlin,2022,25,17,0,0,0,17,0
Ross Chastain,2022,25,22,0,0,0,16,6
William Byron,2022,25,15,0,0,0,15,0
Martin Truex Jr,2022,25,14,0,0,0,14,0
Ryan Blaney,2022,25,13,0,0,0,13,0
Chase Briscoe,2022,25,22,0,1,1,12,10
Ty Gibbs,2022,25,0,0,0,0,11,0
Corey LaJoie,2022,25,10,0,0,0,10,0
Harrison Burton,2022,25,9,0,0,0,9,0
Aric Almirola,2022,25,8,0,0,0,8,0
Mike Rockenfeller,2022,25,7,0,0,0,7,0
Joey Hand,2022,25,11,0,0,0,6,5
Kyle Busch,2022,25,16,0,0,0,5,11
Loris Hezemans,2022,25,0,0,0,0,4,0
Cody Ware,2022,25,3,0,0,0,3,0
Bubba Wallace,2022,25,2,0,0,0,2,0
Daniil Kvyat,2022,25,1,0,0,0,1,0
Kimi Raikkonen,2022,25,1,0,0,0,1,0
Todd Gilliland,2022,25,8,0,0,0,1,7
Kyle Tilley,2022,25,1,0,0,0,1,0
Austin Dillon,2022,26,41,1,0,5,40,1
Tyler Reddick,2022,26,39,0,0,0,35,4
Austin Cindric,2022,26,34,0,0,0,34,0
Landon Cassill,2022,26,0,0,0,0,33,0
Noah Gragson,2022,26,0,0,0,0,32,0
Cody Ware,2022,26,31,0,0,0,31,0
B.J. McLeod,2022,26,0,0,0,0,30,0
Martin Truex Jr,2022,26,44,0,0,0,29,15
David Ragan,2022,26,28,0,0,0,28,0
Kyle Busch,2022,26,44,0,1,1,27,17
Bubba Wallace,2022,26,36,0,0,0,26,10
Joey Logano,2022,26,42,0,1,1,25,17
Ty Gibbs,2022,26,0,0,0,0,24,0
Alex Bowman,2022,26,23,0,0,0,23,0
Ryan Blaney,2022,26,22,0,0,0,22,0
Cole Custer,2022,26,21,0,0,0,21,0
Erik Jones,2022,26,22,0,0,0,20,2
Ty Dillon,2022,26,19,0,0,0,19,0
Harrison Burton,2022,26,26,0,0,0,18,8
Kevin Harvick,2022,26,20,0,0,0,17,3
Aric Almirola,2022,26,16,0,0,0,16,0
Ricky Stenhouse Jr,2022,26,20,0,0,0,15,5
Todd Gilliland,2022,26,19,0,0,0,14,5
Daniel Suarez,2022,26,13,0,0,0,13,0
Denny Hamlin,2022,26,20,0,0,0,12,8
Daniel Hemric,2022,26,0,0,0,0,11,0
Chris Buescher,2022,26,10,0,0,0,10,0
Justin Haley,2022,26,9,0,0,0,9,0
Chase Elliott,2022,26,17,0,0,0,8,9
Corey LaJoie,2022,26,12,0,0,0,7,5
Chase Briscoe,2022,26,6,0,0,0,6,0
Michael McDowell,2022,26,6,0,0,0,5,1
Ross Chastain,2022,26,4,0,0,0,4,0
William Byron,2022,26,3,0,0,0,3,0
Brad Keselowski,2022,26,2,0,0,0,2,0
Christopher Bell,2022,26,1,0,0,0,1,0
Kyle Larson,2022,26,1,0,0,0,1,0
Erik Jones,2022,27,45,1,0,5,40,5
Denny Hamlin,2022,27,44,0,0,0,35,9
Tyler Reddick,2022,27,38,0,0,0,34,4
Joey Logano,2022,27,40,0,0,0,33,7
Christopher Bell,2022,27,44,0,0,0,32,12
Michael McDowell,2022,27,32,0,0,0,31,1
Brad Keselowski,2022,27,30,0,0,0,30,0
William Byron,2022,27,45,0,1,1,29,16
Bubba Wallace,2022,27,29,0,0,0,28,1
Alex Bowman,2022,27,31,0,0,0,27,4
Aric Almirola,2022,27,26,0,0,0,26,0
Kyle Larson,2022,27,25,0,0,0,25,0
Ryan Blaney,2022,27,34,0,0,0,24,10
Cole Custer,2022,27,23,0,0,0,23,0
Ty Gibbs,2022,27,0,0,0,0,22,0
Austin Cindric,2022,27,21,0,0,0,21,0
Austin Dillon,2022,27,20,0,0,0,20,0
Daniel Suarez,2022,27,22,0,0,0,19,3
Justin Haley,2022,27,18,0,0,0,18,0
Ross Chastain,2022,27,22,0,0,0,17,5
Harrison Burton,2022,27,16,0,0,0,16,0
Ty Dillon,2022,27,15,0,0,0,15,0
Daniel Hemric,2022,27,0,0,0,0,14,0
Corey LaJoie,2022,27,13,0,0,0,13,0
Landon Cassill,2022,27,0,0,0,0,12,0
Chris Buescher,2022,27,11,0,0,0,11,0
Chase Briscoe,2022,27,10,0,0,0,10,0
Todd Gilliland,2022,27,9,0,0,0,9,0
B.J. McLeod,2022,27,0,0,0,0,8,0
Kyle Busch,2022,27,25,0,1,1,7,18
Martin Truex Jr,2022,27,21,0,0,0,6,15
Cody Ware,2022,27,5,0,0,0,5,0
Kevin Harvick,2022,27,4,0,0,0,4,0
J.J. Yeley,2022,27,0,0,0,0,3,0
Ricky Stenhouse Jr,2022,27,2,0,0,0,2,0
Chase Elliott,2022,27,1,0,0,0,1,0
Bubba Wallace,2022,28,53,1,0,5,40,13
Denny Hamlin,2022,28,40,0,0,0,35,5
Christopher Bell,2022,28,53,0,1,1,34,19
Alex Bowman,2022,28,43,0,1,1,33,10
Martin Truex Jr,2022,28,40,0,0,0,32,8
William Byron,2022,28,39,0,0,0,31,8
Ross Chastain,2022,28,34,0,0,0,30,4
Kyle Larson,2022,28,33,0,0,0,29,4
Ryan Blaney,2022,28,39,0,0,0,28,11
Daniel Suarez,2022,28,27,0,0,0,27,0
Chase Elliott,2022,28,37,0,0,0,26,11
Austin Cindric,2022,28,25,0,0,0,25,0
Chase Briscoe,2022,28,24,0,0,0,24,0
Austin Dillon,2022,28,24,0,0,0,23,1
Chris Buescher,2022,28,22,0,0,0,22,0
Michael McDowell,2022,28,21,0,0,0,21,0
Joey Logano,2022,28,25,0,0,0,20,5
Noah Gragson,2022,28,0,0,0,0,19,0
Justin Haley,2022,28,18,0,0,0,18,0
Ty Dillon,2022,28,17,0,0,0,17,0
Aric Almirola,2022,28,16,0,0,0,16,0
Cole Custer,2022,28,15,0,0,0,15,0
Todd Gilliland,2022,28,14,0,0,0,14,0
Landon Cassill,2022,28,0,0,0,0,13,0
Brad Keselowski,2022,28,12,0,0,0,12,0
Kyle Busch,2022,28,15,0,0,0,11,4
Cody Ware,2022,28,10,0,0,0,10,0
J.J. Yeley,2022,28,0,0,0,0,9,0
Erik Jones,2022,28,8,0,0,0,8,0
Ricky Stenhouse Jr,2022,28,14,0,0,0,7,7
B.J. McLeod,2022,28,0,0,0,0,6,0
Harrison Burton,2022,28,5,0,0,0,5,0
Corey LaJoie,2022,28,4,0,0,0,4,0
Ty Gibbs,2022,28,0,0,0,0,3,0
Tyler Reddick,2022,28,2,0,0,0,2,0
Kevin Harvick,2022,28,1,0,0,0,1,0
Chris Buescher,2022,29,44,1,0,5,40,4
Chase Elliott,2022,29,42,0,0,0,35,7
William Byron,2022,29,40,0,0,0,34,6
Christopher Bell,2022,29,52,0,1,1,33,19
Kyle Larson,2022,29,40,0,0,0,32,8
Ross Chastain,2022,29,40,0,0,0,31,9
A.J. Allmendinger,2022,29,0,0,0,0,30,0
Cole Custer,2022,29,29,0,0,0,29,0
Denny Hamlin,2022,29,28,0,0,0,28,0
Kevin Harvick,2022,29,28,0,0,0,27,1
Michael McDowell,2022,29,26,0,0,0,26,0
Justin Haley,2022,29,25,0,0,0,25,0
Brad Keselowski,2022,29,34,0,1,1,24,10
Chase Briscoe,2022,29,38,0,0,0,23,15
Corey LaJoie,2022,29,22,0,0,0,22,0
Harrison Burton,2022,29,21,0,0,0,21,0
Cody Ware,2022,29,20,0,0,0,20,0
Todd Gilliland,2022,29,19,0,0,0,19,0
Daniel Suarez,2022,29,18,0,0,0,18,0
Austin Cindric,2022,29,17,0,0,0,17,0
Erik Jones,2022,29,16,0,0,0,16,0
Landon Cassill,2022,29,0,0,0,0,15,0
J.J. Yeley,2022,29,0,0,0,0,14,0
B.J. McLeod,2022,29,0,0,0,0,13,0
Tyler Reddick,2022,29,15,0,0,0,12,3
Ty Dillon,2022,29,11,0,0,0,11,0
Joey Logano,2022,29,10,0,0,0,10,0
Aric Almirola,2022,29,9,0,0,0,9,0
Bubba Wallace,2022,29,8,0,0,0,8,0
Ryan Blaney,2022,29,7,0,0,0,7,0
Austin Dillon,2022,29,9,0,0,0,6,3
Alex Bowman,2022,29,15,0,0,0,5,10
Ricky Stenhouse Jr,2022,29,4,0,0,0,4,0
Kyle Busch,2022,29,17,0,0,0,3,14
Ty Gibbs,2022,29,0,0,0,0,2,0
Martin Truex Jr,2022,29,2,0,0,0,1,1
Tyler Reddick,2022,30,40,1,0,5,40,0
Joey Logano,2022,30,46,0,0,0,35,11
Justin Haley,2022,30,34,0,0,0,34,0
Ryan Blaney,2022,30,43,0,1,1,33,10
Chase Briscoe,2022,30,32,0,0,0,32,0
Erik Jones,2022,30,31,0,0,0,31,0
William Byron,2022,30,43,0,0,0,30,13
Brad Keselowski,2022,30,39,0,0,0,29,10
Kyle Larson,2022,30,38,0,1,1,28,10
Denny Hamlin,2022,30,36,0,0,0,27,9
Michael McDowell,2022,30,28,0,0,0,26,2
Daniel Suarez,2022,30,38,0,0,0,25,13
Ross Chastain,2022,30,39,0,0,0,24,15
Corey LaJoie,2022,30,23,0,0,0,23,0
Austin Cindric,2022,30,28,0,0,0,22,6
Ty Dillon,2022,30,21,0,0,0,21,0
Austin Dillon,2022,30,25,0,0,0,20,5
Harrison Burton,2022,30,19,0,0,0,19,0
Kevin Harvick,2022,30,18,0,0,0,18,0
Ty Gibbs,2022,30,0,0,0,0,17,0
Noah Gragson,2022,30,0,0,0,0,16,0
Landon Cassill,2022,30,0,0,0,0,15,0
Garrett Smithley,2022,30,0,0,0,0,14,0
